bc_id,output,distance,age,fnlwgt,educationalnum,gender,capitalgain,capitalloss,hoursperweek
1,<=50K,1042.52500752288,71.78832491576492,327968.0934009144,14.082852073153429,1.0,1567.501681943949,364.6346292539634,80.26303966685573
2,<=50K,3577.989486855499,55.39309964495894,711054.0062338115,12.498026957066346,0.0,472.21315615229634,152.3239260381569,93.63175775786381
3,<=50K,101.23308340815228,43.59389861421116,125144.38702644214,13.100068426001572,1.0,-64.58875725282545,74.61496455371251,48.69589231854231
4,<=50K,209.90229421781197,48.66275623121495,168061.7123903888,13.461261806182945,1.0,209.27085215787798,11.14531419923265,42.88816858772983
5,<=50K,1611.4467135608497,35.78913898400976,558455.2764458184,12.497144870157317,0.0,5257.58846193945,11.272826869789089,65.58098991842522
6,<=50K,2737.772376827401,56.643702374622094,386587.4991611356,12.496253045270185,0.0,5448.8724855956825,30.864737608455986,54.37411606331495
7,<=50K,25073.869163859632,88.48898324722879,997339.227204742,13.967460314866868,1.0,2102.1518119647953,123.65935208156404,78.27390836334654
8,<=50K,77991.86892654879,36.351736928876456,1.3463158107826177e6,12.497226752272786,0.0,1531.4339344085288,18.908141855288243,93.71346100570621
9,<=50K,215.9509549090614,41.10328063594745,359306.74792334705,13.924230559122508,1.0,207.35457688436549,33.745374171539495,82.65164723420145
10,<=50K,564.3286932597488,40.332968915023585,212836.88713242576,12.495236120427272,0.0,561.6583329352417,52.216088303947906,52.83206352136102
1,>50K,1612.1719605906574,71.78809874191163,327968.09130538756,14.08287186814815,0.0,1567.5020426218346,364.6329921641025,80.26328523735218
2,>50K,5385.133736608867,55.39609780667363,711054.0063160904,12.505369617519507,0.0,472.21149297763736,152.32660651889708,93.64196939674723
3,>50K,101.1173095774482,43.59357995002959,125144.38713214411,13.100270347030177,0.0,-64.58886659363571,74.61495446077116,48.69465809721917
4,>50K,209.96298330932171,48.66235382798774,168061.7163358069,13.46188011497096,0.0,209.2710617426577,11.143664505248,42.88820201870834
5,>50K,5558.3214844135955,35.78916269862022,558455.2761065258,12.50561500014256,0.0,5257.590088490592,11.285491925200379,65.59253688277055
6,>50K,1858.7656704816186,56.620551299124386,386587.4979341931,12.501049746174305,0.0,5448.834081366148,30.866089176839143,54.3570715424502
7,>50K,43801.92471064473,88.48236762851683,997339.2277908474,13.96838422576943,0.0,2102.149444403397,123.65867177419497,78.27986637773806
8,>50K,248867.52364734095,36.35602635905387,1.3463158085778777e6,12.501142161867275,-0.0,1531.4397216814198,18.902799435333158,93.70534273788805
9,>50K,472.2488989903466,41.102494889256235,359306.7475008359,13.924822306434042,0.0,207.3486557186872,33.74341295785401,82.65015557644196
10,>50K,564.8773648398502,40.345723069959234,212836.88271196716,12.500306604515819,0.0,561.6423713589189,52.206901407486725,52.83405877026977
